"guid","descr"
"BD15C6AFBC365AB3BE5177F406444242","Afbeelding van een dixielandbandje dat speelt bij de onthulling van het kunstwerk ""Het Verzonken Schip"" van Karin Daan in het kantorenpark Rijnsweerd (Euclideslaan) te Utrecht."
"BD342D8036055A02855D6F17AB5AC975","Gezicht op het kunstwerk ""Jacht"" van de kunstenaar J. Sierhuis op de zijgevel van het pand Voorstraat 80 te Utrecht, vanuit het westen. Op de voorgrond de Wijde Begijnestraat. Opmerking: Plaatsing: 10 december 1979 in het kader van het project ""Townpainting"".<ZR>Materiaal: beschilderde platen hechthout<ZR>Afmeting: 3 x 6 meter"
"BDFDBB4666575092B0159DE810182B96","Interieur van de Edelsmederij Brom (Drift 15) te Utrecht: werkplaats van de kopersmeden. Opmerking: De afbeelding bevindt zich in Bibl.HUA, LXIV F 49, F.W., De kunstwerkplaatsen van Brom te Utrecht, blz. 13 (overdruk van het Geïllustreerd Zondagsblad, 1910)."
"BE15B9B74D175AF481E04ADCD0A115C2","Interieur van de Raadskelder onder het Stadhuis (Stadhuisbrug 1) te Utrecht: het wandmozaïek van J. Klinkhamer.<ZR><ZR>N.B. Wethouder van Koningsbruggen onthulde het kunstwerk op 8 maart 1963 en gaf het namens de gemeente Utrecht in bruikleen aan de Stichting ""De Open Tafel"". Opmerking: Fotonummer 5048"
"BEE7B6CD6F5C5EE4831788D6A35083D2","Afbeelding van het kunstwerk Grootmoeder Kegge langs de Suze Noiretdreef te Utrecht. Opmerking: naam kunstenaar:  J. Bronner<ZR>datum plaatsing:  11 november 1969<ZR>gebruikt materiaal:  brons"
"C008B1B0C12D51EEBAEA55DDE060E3B5","Afbeelding van twee replica's van het door Joop Hekman gemaakte standbeeld van de politicus Pieter Jelles Troelstra (1860-1930), dat op de hoek van de Draaiweg en de Troelstralaan staat, op de nieuw aangelegde rotonde in de Talmalaan te Utrecht. Op de achtergrond het UWV-kantoor op de Willem Dreeslaan.<ZR><ZR>N.B. Het plaatsen van replica's van het standbeeld van Hekman in de vorm van een kunstwerk, is een initiatief van de Staatslieden Art Community. Deze replica's zijn gemaakt door de kunstenaar Paul Balk."
"C086975A841259B0984B62D35B538E0D","Gezicht op het bij wijze van kunstwerk letterlijk als stadskasteel aangepaste huis Oudaen (Oudegracht 99) te Utrecht.<ZR><ZR>N.B. De tijdelijke aanpassing van het huis Oudaen was een creatie van kunstenaar Julian Opie in het kader van de door het Centraal Museum georganiseerde tentoonstelling Panorama 2000."
"C0AED50B440E5BF8A1BA26882151894F","Interieur van het Provinciehuis (Galileïlaan 15) te Utrecht, uit het zuidoosten: het trappenhuis van ster A met het door Helly Oestreicher vervaardigde keramiek kunstwerk, vanaf niveau 2; op de achtergrond de receptie.<ZR><ZR>N.B. Het adres is in 1995 gewijzigd in Pythagoraslaan 101."
"C27204A00C4D5E1FA21B8D1D99C0FC23","Afbeelding van een tegel met de tekst 'LEF LIEFDE GELEEFD', in het plaveisel op de Brigittenstraat ter hoogte van de Oudekamp te Utrecht.<ZR><ZR>N.B. De anonieme kunstenaar verwijderde plaveisel ter grootte van een tegel en plaatste daar zijn kunstwerkje terug. Opmerking: De afbeelding maakt deel uit van de inventarisatie van straatpoëzie in Nederland en Vlaanderen; zie: www.straatpoezie.nl"
"C2750B0E793A540A838E0BBFE0B867FF","Gezicht op het kunstwerk bij de ingang van de Jaarbeurs (Croeselaan) te Utrecht, met op de achtergrond het Beatrixgebouw."
"C2C101010F915E3290B88D7EDE71C069","Afbeelding van het graffiti-kunstwerk 'Utrecht' uit 2015 met twee Utrechtse Kabouters (KBTR's), op het transformatorgebouwtje op het bouwterrein aan het Westplein naast de voormalige Ulu moskee (Kanaalstraat 36-38) te Utrecht."
"C3D4EB0516A5504A94462496B4D8E74F","Afbeelding van het kunstwerk ""Copmpositie in brons"", door J. H. Jorna, bij de Sporthal De Dreef (Drielenborchdreef 27) te Utrecht."
"C45F83A7351B538F9C051714D515A96B","Afbeelding van het, door pottenbakker Hans de Jong vervaardigde, kunstwerk Drie Poppen bestemd voor de lerarenkamer in de School voor Individueel Voortgezet Onderwijs, later de P.F. van Overbeekeschool, (Barnsteenlaan 6) te Utrecht. Opmerking: Fotonummer 17684.<ZR><ZR>Litt. Bibl.HUA XIX De Timmerwerf, juni 1964, blz. 13."
